09/09/09,172.78,174.47,169.70,171.14,28967400,170.41,171.96,159.03119047619,36.5525485057048,195.583738981895,122.478641970486
08/09/09,172.98,173.14,172.00,172.93,11251700,172.19,172.955,158.661428571429,36.4437671674752,195.105195738904,122.217661403953
04/09/09,167.28,170.70,167.09,170.31,13379600,169.58,168.795,158.504523809524,36.4050292509415,194.909553060465,122.099494558582
03/09/09,166.44,167.10,165.00,166.55,10498400,165.84,166.495,158.42119047619,36.3878228912078,194.809013367398,122.033367584983
02/09/09,164.62,167.61,164.11,165.18,13008900,164.47,164.9,158.446428571429,36.3927246555839,194.839153227012,122.053703915845
01/09/09,167.99,170.00,164.94,165.30,16751000,164.59,166.645,158.379523809524,36.3781872797684,194.757711089292,122.001336529755
31/08/09,168.16,168.85,166.50,168.21,11119200,167.49,168.185,158.266904761905,36.3499636683515,194.616868430256,121.916941093553
28/08/09,172.27,172.49,168.53,170.05,16203600,169.32,171.16,157.887380952381,36.2500878143436,194.137468766725,121.637293138037
27/08/09,168.75,169.57,164.83,169.45,16042200,168.73,169.1,157.560952380952,36.1748570701754,193.735809451128,121.386095310777
26/08/09,168.92,169.55,166.76,167.41,10857100,166.69,168.165,157.146666666667,36.0970781135168,193.243744780184,121.04958855315
25/08/09,169.46,170.94,169.13,169.40,11584100,168.68,169.43,156.670952380952,35.9927823882458,192.663734769198,120.678169992707
24/08/09,170.12,170.71,168.27,169.06,14533200,168.34,169.59,156.220714285714,35.8820627293678,192.102777015082,120.338651556347
21/08/09,167.65,169.37,166.80,169.22,14859800,168.50,168.435,155.74619047619,35.7781989451943,191.524389421385,119.967991530996
20/08/09,164.98,166.72,164.61,166.33,12215400,165.62,165.655,155.344761904762,35.7086885252102,191.053450429972,119.636073379552
19/08/09,162.75,165.30,162.45,164.60,14759700,163.90,163.675,155.039523809524,35.6612861484538,190.700809957978,119.37823766107
18/08/09,161.63,164.24,161.41,164.00,15398300,163.30,162.815,154.543571428571,35.6201419895702,190.163713418142,118.923429439001
17/08/09,163.55,163.59,159.42,159.59,18727900,158.91,161.57,154.139761904762,35.5845529505497,189.724314855312,118.555208954212
14/08/09,167.94,168.23,165.53,166.78,10922000,166.07,167.36,153.332857142857,35.4616936486199,188.794550791477,117.871163494237
